proposal_type	n_mutations	mean MI value
msa_prob_dist	1	1.6346821866759498
msa_prob_dist	2	1.6177909950979001
msa_prob_dist	3	1.6018089937672328
msa_prob_dist	4	1.5844154929492063
msa_prob_dist	5	1.566293017178755
msa_prob_dist	6	1.5499501461826655
msa_prob_dist	7	1.5365502758852545
msa_prob_dist	8	1.522962742936913
msa_prob_dist	9	1.5121951108662979
msa_prob_dist	10	1.5014153240647818
msa_prob_dist	11	1.4882287984296434
msa_prob_dist	12	1.4721561802687506
msa_prob_dist	13	1.4643412459436127
msa_prob_dist	14	1.4492137564657517
msa_prob_dist	15	1.4392504274017077
msa_prob_dist	16	1.4263820876425215
msa_prob_dist	17	1.4128966412778636
msa_prob_dist	18	1.3987170264175561
msa_prob_dist	19	1.3856396012457264
msa_prob_dist	20	1.3745405433960691
msa_prob_dist	40	1.1851157664125287
msa_prob_dist	60	1.0663078629053657
msa_prob_dist	80	0.9773383168099646
msa_prob_dist	100	0.9093206368406603
msa_prob_dist	120	0.8663312029851142
msa_prob_dist	140	0.8298387985232949
msa_prob_dist	160	0.8158557345670033
msa_prob_dist	180	0.7937243409036671
msa_prob_dist	200	0.7630040566654414
msa_prob_dist	220	0.7432535124054517
msa_prob_dist	240	0.7200458465386513
msa_prob_dist	260	0.716916451796435
msa_prob_dist	280	0.7134011108814717
msa_prob_dist	300	0.7147743938763346
msa_prob_dist	320	0.7140444598745962
msa_prob_dist	340	0.702989061163878
msa_prob_dist	360	0.6954860008953061
msa_prob_dist	380	0.695759503488807
msa_prob_dist	400	0.6913870695868062
msa_prob_dist	420	0.6817060850367573
msa_prob_dist	440	0.6824523905774061
msa_prob_dist	460	0.6795844845578842
msa_prob_dist	480	0.6782600497354117
msa_prob_dist	500	0.6605839299628149
msa_prob_dist	520	0.6594684474167973
msa_prob_dist	540	0.6547046558337097
msa_prob_dist	560	0.6526878351526179
msa_prob_dist	580	0.6506050204250712
msa_prob_dist	600	0.6502828772277878
msa_prob_dist	620	0.6472299318211663
msa_prob_dist	640	0.6477037515258027
msa_prob_dist	660	0.635705327895233
msa_prob_dist	680	0.6356769416849009
msa_prob_dist	700	0.6261049689171779
msa_prob_dist	720	0.61868543352618
msa_prob_dist	740	0.6131931244842445
msa_prob_dist	760	0.6053428112210743
msa_prob_dist	780	0.602478909135542
msa_prob_dist	800	0.607500655487695
msa_prob_dist	820	0.6086474026492739
msa_prob_dist	840	0.6121937845989648
msa_prob_dist	860	0.6070285524825715
msa_prob_dist	880	0.6078324967778225
msa_prob_dist	900	0.5900827075289419
msa_prob_dist	920	0.5914092339606841
msa_prob_dist	940	0.5921933726408208
msa_prob_dist	960	0.597716396638211
msa_prob_dist	980	0.5970243488277042
msa_prob_dist	1000	0.5930300704559087
random	1	1.6402978827704662
random	2	1.6284737683979331
random	3	1.6149967957397304
random	4	1.6014429084446973
random	5	1.5897771807449987
random	6	1.5787221061180972
random	7	1.5711259487895262
random	8	1.56151765641504
random	9	1.5529799055971838
random	10	1.5443074294244445
random	11	1.5346284110911264
random	12	1.524935705150349
random	13	1.510800281280754
random	14	1.5007782325552024
random	15	1.4869691717940638
random	16	1.4778358918346781
random	17	1.469730916348091
random	18	1.4607768338158296
random	19	1.4541108958448403
random	20	1.446122441876153
random	40	1.3093020479929682
random	60	1.2056982199240773
random	80	1.1259579049813646
random	100	1.0659285213000695
random	120	1.0257634467829702
random	140	0.9882492410348104
random	160	0.966711582066443
random	180	0.9392476573137266
random	200	0.9143469331133425
random	220	0.8866989780631646
random	240	0.8763297324433554
random	260	0.8649762888081798
random	280	0.857815210496078
random	300	0.8401098244063029
random	320	0.826389690065696
random	340	0.8173433985816164
random	360	0.8064846642884611
random	380	0.7903871372190944
random	400	0.7808465715985043
random	420	0.7778458584336938
random	440	0.7736356863090574
random	460	0.7713177466190405
random	480	0.7554468141824457
random	500	0.753439206833067
random	520	0.7476734818615082
random	540	0.7402435599916214
random	560	0.7380170904010452
random	580	0.7399605396289788
random	600	0.732064725738635
random	620	0.7260410183659797
random	640	0.7212460217208176
random	660	0.7179303600234649
random	680	0.7193325342884743
random	700	0.7109478283783627
random	720	0.7134961665608874
random	740	0.7180080607842694
random	760	0.7161407228109639
random	780	0.7110301913734853
random	800	0.7037910897228343
random	820	0.693680325574364
random	840	0.6935574119788757
random	860	0.696965054419035
random	880	0.6940967214999161
random	900	0.6899486340706302
random	920	0.6841435386109156
random	940	0.6702685798025447
random	960	0.6726259252412776
random	980	0.6721500849761128
random	1000	0.6649093863971106
