sequence_name	n_mutations	proposal_type	hmmer_seq_score
seq3	0	msa_prob_dist	0.3
seq1	0	msa_prob_dist	-1.0
seq5	0	msa_prob_dist	-1.8
seq7	0	msa_prob_dist	-2.0
seq0	0	msa_prob_dist	-2.5
seq9	0	msa_prob_dist	-2.6
seq3	0	random	0.3
seq1	0	random	-1.0
seq5	0	random	-1.8
seq7	0	random	-2.0
seq0	0	random	-2.5
seq9	0	random	-2.6
seq5	100	msa_prob_dist	5.0
seq7	100	msa_prob_dist	-0.6
seq8	100	msa_prob_dist	-1.1
seq2	100	msa_prob_dist	-1.1
seq3	100	msa_prob_dist	-1.4
seq0	100	msa_prob_dist	-1.8
seq1	100	msa_prob_dist	-2.3
seq6	100	msa_prob_dist	-2.3
seq4	100	msa_prob_dist	-2.5
seq9	200	msa_prob_dist	2.9
seq7	200	msa_prob_dist	1.7
seq5	200	msa_prob_dist	-0.0
seq3	200	msa_prob_dist	-0.0
seq0	200	msa_prob_dist	-0.1
seq8	200	msa_prob_dist	-0.5
seq1	200	msa_prob_dist	-1.4
seq6	200	msa_prob_dist	-1.6
seq2	200	msa_prob_dist	-1.7
seq4	200	msa_prob_dist	-2.2
seq3	300	msa_prob_dist	1.1
seq6	300	msa_prob_dist	0.4
seq2	300	msa_prob_dist	0.4
seq1	300	msa_prob_dist	-0.9
seq9	300	msa_prob_dist	-1.0
seq8	300	msa_prob_dist	-1.3
seq7	300	msa_prob_dist	-1.4
seq0	300	msa_prob_dist	-1.8
seq5	300	msa_prob_dist	-2.2
seq3	400	msa_prob_dist	19.3
seq2	400	msa_prob_dist	7.5
seq1	400	msa_prob_dist	6.9
seq8	400	msa_prob_dist	4.9
seq9	400	msa_prob_dist	0.5
seq0	400	msa_prob_dist	0.5
seq6	400	msa_prob_dist	0.5
seq7	400	msa_prob_dist	-0.6
seq4	400	msa_prob_dist	-1.6
seq3	500	msa_prob_dist	30.0
seq2	500	msa_prob_dist	14.6
seq1	500	msa_prob_dist	11.7
seq8	500	msa_prob_dist	5.3
seq0	500	msa_prob_dist	5.0
seq9	500	msa_prob_dist	4.4
seq7	500	msa_prob_dist	-0.3
seq6	500	msa_prob_dist	-0.5
seq4	500	msa_prob_dist	-2.1
seq3	600	msa_prob_dist	32.1
seq8	600	msa_prob_dist	11.9
seq0	600	msa_prob_dist	5.8
seq2	600	msa_prob_dist	3.9
seq1	600	msa_prob_dist	1.7
seq9	600	msa_prob_dist	-0.5
seq6	600	msa_prob_dist	-0.8
seq7	600	msa_prob_dist	-2.3
seq5	600	msa_prob_dist	-2.7
seq3	700	msa_prob_dist	45.5
seq0	700	msa_prob_dist	18.7
seq1	700	msa_prob_dist	16.2
