tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00004	859	0.024265691408161996	0.04224868237423579	0.018968211812481182	0.024390471786669907	0.8871856909838152	0.9455189348034732
nat	PF00004	7733	0.02586259612310419	0.02527018230580003	0.0201796403184587	0.019682959128599013	0.9641453106592104	0.9823023531829072
nat	PF00004	891	0.023801083337633505	0.04734159077556909	0.018773911171895724	0.025590045419004115	0.8407091700572545	0.9307507549766285
nat	PF00004	6541	0.024552924083709318	0.029210151285417384	0.019040849259829285	0.0229163020744119	0.9402952312639422	0.9704388502078627
nat	PF00004	4386	0.024108733186850893	0.04651788399998063	0.01882817733372697	0.025662340234398867	0.8560543202769102	0.9353174256701533
nat	PF00004	4327	0.024006765160476718	0.03769202829070065	0.01887392112197643	0.023319807933204338	0.9212907746602276	0.9614994782063739
nat	PF00004	6972	0.025238605877615606	0.02741877358868395	0.019603133818324844	0.02143537038604042	0.9553619017547235	0.9774824340248948
nat	PF00004	941	0.024343934036790565	0.029960137105550635	0.01907681241117216	0.02279375282504572	0.9356764302950313	0.9676281844452699
nat	PF00004	2014	0.02569317471847101	0.028627091635452063	0.020083550492446922	0.021496249090119615	0.9402754437434298	0.9700524912619992
nat	PF00004	8582	0.024256296043245876	0.03411702905177255	0.018881897982709995	0.024589891014893867	0.9012365978981316	0.9584337610716618
nat	PF00005	859	0.012716467506674494	0.02224757656074545	0.010067129252682676	0.0172288920299058	0.7762460789779537	0.8822011837187828
nat	PF00005	7733	0.012186124151048031	0.02311847989239804	0.009667088502133317	0.01886431500068498	0.8405350869747427	0.9425270685730451
nat	PF00005	891	0.012690870472614182	0.022040109550159618	0.010027686779190996	0.017175427815776863	0.79544155137496	0.8919676761360191
nat	PF00005	6541	0.012633472246950456	0.021954180866834098	0.010003495449916406	0.017214266727589973	0.8435585154696152	0.9344316943092326
