tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00004	859	0.04005670766744878	0.11065967053214874	0.03040887063863259	0.07996128539624288	0.6426756777799382	0.8457325797570258
nat	PF00004	7733	0.038628086852407754	0.11171867583200178	0.030023458814241673	0.07738181093283404	0.6255354042702486	0.820700772693518
nat	PF00004	891	0.03406307217221788	0.1227578211469733	0.026656044383748995	0.08969346589355884	0.5710854858875163	0.7782492947864176
nat	PF00004	6541	0.0436280439921891	0.09914119232815222	0.03445520770351432	0.07162699752083863	0.7103212071882242	0.8461730059877037
nat	PF00004	4386	0.03616091439921111	0.10311042152733994	0.028298305828425654	0.07359634735476812	0.6873664049380612	0.8450227511373742
nat	PF00004	4327	0.03526864892459399	0.10906512056982315	0.02741185304508391	0.07860846018485951	0.6385234489581713	0.843486318693626
nat	PF00004	6972	0.034495628205084616	0.10492946228741479	0.02717499235840455	0.07123722568627201	0.6688730030973116	0.8262914267360283
nat	PF00004	941	0.04015898657319438	0.11684754994744963	0.031794253055293806	0.07881512861649723	0.6056728292101458	0.7881809927797454
nat	PF00004	2014	0.048960793299443285	0.09919162556450613	0.03832998066816466	0.07136281816392977	0.7075415693449039	0.8577410974793225
nat	PF00004	8582	0.052277386073138914	0.12175478828595324	0.04089027697978223	0.0877737104380766	0.5353873944705085	0.8171526383207534
nat	PF00005	859	1.2235599214093137e-15	0.11125913457603147	6.045669015913352e-16	0.08307898038695079	0.2809054946221392	0.57102949426147
nat	PF00005	7733	7.49940371630126e-14	0.11361401135428968	1.2293196763576734e-14	0.08454824678946675	0.26842321419545323	0.5513899665850961
nat	PF00005	891	2.1354995851832424e-11	0.3848623509214192	2.886818057328872e-12	0.35216689176874977	-10.608250233149375	0.24252619030043882
nat	PF00005	6541	1.6621102164545966e-12	0.1290972579659947	2.565372157128174e-13	0.09694005388495545	-0.04599868932023088	0.5289783528294395
nat	PF00005	4386	1.2617482747911997e-15	0.12457170478194256	1.1233438421889085e-15	0.0934311631084071	-0.06641492226541001	0.5249972263139069
nat	PF00005	4327	7.041188758701091e-16	0.1354034884300213	5.541022186538282e-16	0.10141270600501345	-0.10224588905248644	0.4656751552488359
nat	PF00005	6972	2.2465967735633893e-15	0.15177984450412246	2.1245631516690496e-15	0.11425222758885437	-0.43979663654272905	0.5002159363093622
nat	PF00005	941	7.856169645894604e-16	0.1797158406496151	6.923754499025976e-16	0.13269536939839272	-0.77605924023102	0.1246941947852444
nat	PF00005	2014	6.735362258668863e-16	0.1227692140574153	5.056561230338213e-16	0.09564251411824058	0.10856103987210719	0.5424982344128187
nat	PF00005	8582	3.3620198977526064e-15	0.17955509017446736	1.2585891924614274e-15	0.1377019813715145	-1.6009320262760296	0.24247107032898968
nat	PF00041	859	0.0205317090429159	0.2683799789219971	0.015002987296793759	0.21776332370507773	-3.6891272802924586	0.12247721992498958
nat	PF00041	7733	0.017057780436709285	0.1991734803402763	0.013103810125541812	0.1541181467025765	-1.4355904569494995	-0.0202377025270225
nat	PF00041	891	0.0284843813776291	0.23252231862772646	0.022269580246496848	0.18763259293866325	-2.519311693495001	0.25690542334737243
nat	PF00041	6541	0.0138484010391035	0.22286255406001887	0.01016058382266016	0.17360581576890075	-2.168251888636025	0.18368105977968002
nat	PF00041	4386	0.021409844335864646	0.2506426906229245	0.01693444918461817	0.1987197224040225	-3.7168747829702165	0.13197031085907762
nat	PF00041	4327	0.014097214555604793	0.29333442858003345	0.01035580012084648	0.2491322683582021	-5.137442805774186	0.2180373445623473
nat	PF00041	6972	0.013433461135592661	0.2282078311427896	0.009439342726525378	0.17133738488593986	-2.311831446515432	-0.05134405409149431
nat	PF00041	941	0.02134618287616266	0.24463793603687445	0.015814105600834592	0.19149628590413068	-3.0683811174793085	0.06779447843092463
nat	PF00041	2014	0.015548158010746025	0.21079199356493838	0.011972098111604315	0.1661480984263792	-1.7847112103185965	0.23356088903542252
nat	PF00041	8582	0.013865996596458053	0.2632372642034373	0.010253265334868743	0.2133549547351312	-4.329626002459541	0.1997319591126713
nat	PF00072	859	2.8870274093381664e-13	0.11761629002605696	5.306249267139012e-14	0.09301553526945971	0.26086244800465563	0.6648188904762953
nat	PF00072	7733	1.058276741633672e-15	0.10096011079687371	7.142434791755174e-16	0.07849110660862404	0.44240892334374926	0.7091986005809464
nat	PF00072	891	5.569549018988774e-12	0.14594033377069854	8.310278391358376e-13	0.11763516883767233	-0.10356627062209478	0.6932807200993624
nat	PF00072	6541	4.488066335336818e-14	0.15484696488898408	7.442195008403966e-15	0.12448854537628697	-0.3535533449952901	0.5356759313405144
nat	PF00072	4386	3.2404125443896804e-14	0.1532554868720756	6.763725382244148e-15	0.12665971840964585	-0.24810340991578728	0.5826665873449219
nat	PF00072	4327	4.272481070384733e-13	0.11517537185940707	6.521820120989711e-14	0.08851655462148884	0.2432771935101361	0.7033089489484174
nat	PF00072	6972	7.282100182858667e-16	0.10975523654278468	5.353742140970199e-16	0.08728183200517123	0.3040643414571085	0.7221333245244144
nat	PF00072	941	2.533477411646489e-11	0.13808063651643834	3.7773981473618635e-12	0.09551627785754786	-0.07590400064177372	0.5787869062419282
