tool	family	mean_hd_corr	sd_hd_corr
MSA Tr.-0.7	PF00004	0.8436059779540772	0.0074867488352008
MSA Tr.-0.7	PF00005	0.3336214926278514	0.04618448424786548
MSA Tr.-0.7	PF00041	0.380315346001107	0.026580834386386892
MSA Tr.-0.7	PF00072	0.49444727663510424	0.03080647266389558
MSA Tr.-0.7	PF00096	0.22204115119298082	0.02869754035522465
MSA Tr.-0.7	PF00271	0.5573798011515936	0.0328020966979416
MSA Tr.-0.7	PF00397	0.29266778935795384	0.028873212807018732
MSA Tr.-0.7	PF00595	0.6443116857794955	0.06767610411654244
MSA Tr.-0.7	PF01535	0.225177929939691	0.014764985692412622
MSA Tr.-0.7	PF07679	0.4855379152817976	0.04376175817632318
