	tool	family	mean_fd_corr_corrected	sd_fd_corr_corrected	mean_fd_corr_uncorrected	sd_fd_corr_uncorrected
0	MSA-1b_logits_static_10_init-seq-0	PF00004	0.5736625984187761	0.06651218678511836	0.6656838507220769	0.05597810962207031
1	MSA-1b_logits_static_10_init-seq-0	PF00005	0.15634878616760578	0.06852833158417201	0.17377559646447116	0.06663297029971045
2	MSA-1b_logits_static_10_init-seq-0	PF00041	0.21910366455881403	0.035998073091054135	0.26558078791883	0.03584646086689132
3	MSA-1b_logits_static_10_init-seq-0	PF00072	0.3620753167744667	0.04899308086754629	0.3828327957311932	0.04610331199409899
4	MSA-1b_logits_static_10_init-seq-0	PF00076	0.2227772688699599	0.06006384002819852	0.2609429037848304	0.058311383846673163
5	MSA-1b_logits_static_10_init-seq-0	PF00096	0.12079687575111471	0.029006285973347413	0.14636236302444294	0.02910736363430929
6	MSA-1b_logits_static_10_init-seq-0	PF00153	0.34983741454773043	0.026392593306498825	0.48558984918170134	0.02260505005508241
7	MSA-1b_logits_static_10_init-seq-0	PF00271	0.3108257139836257	0.06332421905634351	0.3699479173181606	0.0574920207454048
8	MSA-1b_logits_static_10_init-seq-0	PF00397	0.15012383584169678	0.02810204777364461	0.189569980129559	0.025218127026442
9	MSA-1b_logits_static_10_init-seq-0	PF00512	0.20764058569860305	0.06966348453115272	0.29573084990641474	0.07842720112628265
10	MSA-1b_logits_static_10_init-seq-0	PF00595	0.2982218400954528	0.13097191248242426	0.4216210620276558	0.11292331409590281
11	MSA-1b_logits_static_10_init-seq-0	PF01535	0.07502257681589096	0.03072318855478434	0.09431190322585645	0.032676540616724016
12	MSA-1b_logits_static_10_init-seq-0	PF07679	0.2955076602430491	0.08842069417909157	0.3400159150081639	0.07438661515142754
13	MSA-1b_logits_static_10_init-seq-0	PF02518	0.13818227381197973	0.07425810485211781	0.21410695636349	0.0652929848372886
14	ESM2-33T-650M-logits	PF00004	0.6689128344777113	0.02714288196578038	0.7495554128189256	0.024823926918650763
15	ESM2-33T-650M-logits	PF00005	0.233365337260461	0.10154311526749246	0.25958792256399194	0.09693257115338558
16	ESM2-33T-650M-logits	PF00041	0.22808390263984424	0.03916315881064218	0.27588327758072273	0.036089736704737495
17	ESM2-33T-650M-logits	PF00072	0.3422229953422179	0.0314647642862023	0.3637038286712803	0.028703932665652132
18	ESM2-33T-650M-logits	PF00076	0.2917412603685524	0.10497414986415075	0.34483766961548096	0.10772381564704993
19	ESM2-33T-650M-logits	PF00096	0.198168133473246	0.04310185886469361	0.2207123519575817	0.042940922998979544
20	ESM2-33T-650M-logits	PF00153	0.3126523013373125	0.03347935893983369	0.4269961530505565	0.027090129219525878
21	ESM2-33T-650M-logits	PF00271	0.30256504785433697	0.07595107986891984	0.3617828544314305	0.06746559350135868
22	ESM2-33T-650M-logits	PF00397	0.1488412230581605	0.033601643249131966	0.18647802420514156	0.03090798265009713
23	ESM2-33T-650M-logits	PF00512	0.40077844003195073	0.11596150456925867	0.49064988278751986	0.10333751819433455
24	ESM2-33T-650M-logits	PF00595	0.4684646917843483	0.07055425368475497	0.6444321855242812	0.054269008869606984
