tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00004	859	0.062263884003736725	0.0938376403672969	0.04827317219772137	0.06490478395491499	0.6469935665258074	0.8560612414281259
nat	PF00004	7733	0.06479749606094147	0.07227751694469381	0.04960962436770476	0.0553693093054878	0.8432085715798141	0.9212168008838066
nat	PF00004	891	0.060591929468818556	0.08916795613658905	0.046228496683402155	0.06311505183095983	0.7369423376017308	0.8676643486315538
nat	PF00004	6541	0.06091326491654407	0.09078368584144575	0.046875229440233056	0.06486534897998708	0.7429473693612441	0.8724655633202347
nat	PF00004	4386	0.0629654722896133	0.08960649055739418	0.048407493636101064	0.06262532430926888	0.7245023106236765	0.8721190565944322
nat	PF00004	4327	0.060753836944848934	0.09008532909965641	0.04696622059516365	0.06190678412444806	0.7876684436689602	0.8921883772671987
nat	PF00004	6972	0.06519644017886789	0.07193496724810472	0.0498238493280521	0.05487665685109399	0.8469884664432351	0.9232765349541265
nat	PF00004	941	0.06311459132865144	0.07956629795977989	0.04830618574243824	0.061150227789085194	0.8024890782864396	0.8963664157103226
nat	PF00004	2014	0.06736702278826169	0.06889292455146152	0.05164860820386228	0.052330897646586154	0.8315609022804906	0.917083080715788
nat	PF00004	8582	0.06102376888316892	0.092981466305131	0.04664706106906152	0.06867845698930647	0.6831960779161694	0.8406253634091689
nat	PF00005	859	0.05585795134633714	0.10800132788199031	0.043051527293179785	0.0876541345428128	-0.3322062270182673	0.5988760585282558
nat	PF00005	7733	0.053773955536944244	0.12209034940076645	0.04200912168988345	0.09509660006639128	-0.4916829109424381	0.6059492311030747
nat	PF00005	891	0.04007505520322067	0.14057801059777758	0.03086832459037292	0.10150498049066103	-0.03186895069012152	0.4778935076736566
nat	PF00005	6541	0.055880795481049045	0.10366022616921428	0.04326261756736133	0.08178222898538046	0.033261220478743136	0.6307002712372138
nat	PF00005	4386	0.04646069134488754	0.11979247991777364	0.03616331609949446	0.09332913625623303	-0.6699310458273191	0.3459568370677967
nat	PF00005	4327	0.05337435036098857	0.10703896960240848	0.04199158929526707	0.0823033464057718	-0.27378148523247914	0.5562160051834861
nat	PF00005	6972	0.056590710710306344	0.08892149603135847	0.0437572927930936	0.06855055797817174	0.3486898181006244	0.7223895825920967
nat	PF00005	941	0.04992467013083782	0.11093761976555654	0.03905405586035767	0.08901518584110658	0.20800575880057903	0.6630622327415616
nat	PF00005	2014	0.05473276547383352	0.17445901153810012	0.042557867830997104	0.12225298391532355	-0.9282161581150195	0.4797252182008792
nat	PF00005	8582	0.052909050408485064	0.09554627109171715	0.04002891389264873	0.0727108438117098	-0.11283213996376862	0.5325778191246999
nat	PF00041	859	0.07287063849346855	0.09251956451594359	0.05679640238704156	0.071565825000022	0.2573422379515655	0.5839503581235096
nat	PF00041	7733	0.06569659869972566	0.10858327714775105	0.05189198889941567	0.08288183339664745	0.2533600894029716	0.5774358701625248
