sim_ind	proposal_type	pseudocount	n_mutations	mean MI value
6	logits	0.4	20	0.27321317788251065
6	logits	0.4	40	0.24118628166300715
6	logits	0.4	60	0.22102777136535204
6	logits	0.4	80	0.20706506416652135
6	logits	0.4	100	0.1962817902713185
6	logits	0.4	120	0.1870753848147636
6	logits	0.4	140	0.18044710398983999
6	logits	0.4	160	0.1771201595060202
6	logits	0.4	180	0.1743583811173239
6	logits	0.4	200	0.1718790057217314
6	logits	0.4	220	0.17027855079583767
6	logits	0.4	240	0.16802709863601678
6	logits	0.4	260	0.16662183553886
6	logits	0.4	280	0.16565263419504467
6	logits	0.4	300	0.16369743268964815
6	logits	0.4	320	0.16200242053699013
6	logits	0.4	340	0.16243912177630526
6	logits	0.4	360	0.16187621496914673
6	logits	0.4	380	0.1607902724715564
6	logits	0.4	400	0.16088749388040136
6	logits	0.4	420	0.16066368850696106
6	logits	0.4	440	0.16014372125576232
6	logits	0.4	460	0.1607212249612973
6	logits	0.4	480	0.16009827541121932
6	logits	0.4	500	0.1606299272983582
6	logits	0.4	520	0.16099204691083133
6	logits	0.4	540	0.16077548529862862
6	logits	0.4	560	0.1606452973171711
6	logits	0.4	580	0.1603454227078897
6	logits	0.4	600	0.1605812451508766
6	logits	0.4	620	0.1594142085329198
6	logits	0.4	640	0.1588948085320527
6	logits	0.4	660	0.15982630329603031
6	logits	0.4	680	0.15860952383722443
6	logits	0.4	700	0.1602588803873491
6	logits	0.4	720	0.16012116047598512
6	logits	0.4	740	0.1592668344036829
6	logits	0.4	760	0.15940779640339867
6	logits	0.4	780	0.15845793826829394
6	logits	0.4	800	0.15836614732435972
6	logits	0.4	820	0.15731548334524548
6	logits	0.4	840	0.15663707078732458
6	logits	0.4	860	0.15694825860671177
6	logits	0.4	880	0.15689869480389623
6	logits	0.4	900	0.15649833603205876
6	logits	0.4	920	0.1565211845169193
6	logits	0.4	940	0.15692212486757523
6	logits	0.4	960	0.15639809682421738
6	logits	0.4	980	0.15655100648399284
6	logits	0.4	1000	0.15711922851651286
6	logits	0.4	1020	0.15595529303303088
6	logits	0.4	1040	0.1570958322526975
6	logits	0.4	1060	0.1568196614431299
6	logits	0.4	1080	0.15713269441453123
6	logits	0.4	1100	0.15771576147995653
6	logits	0.4	1120	0.158774394962291
6	logits	0.4	1140	0.1575258789033831
6	logits	0.4	1160	0.15625528534542021
6	logits	0.4	1180	0.15591228915157876
6	logits	0.4	1200	0.157140489665489
6	logits	0.4	1220	0.15740243737754006
6	logits	0.4	1240	0.1569131394569848
6	logits	0.4	1260	0.15714566401063612
6	logits	0.4	1280	0.15837694236596672
6	logits	0.4	1300	0.15867468989207523
6	logits	0.4	1320	0.15917205861101835
6	logits	0.4	1340	0.15833839015964618
6	logits	0.4	1360	0.15756475914522378
6	logits	0.4	1380	0.15758636508493507
6	logits	0.4	1400	0.15662325794581627
6	logits	0.4	1420	0.156235415844652
6	logits	0.4	1440	0.15694536561198488
6	logits	0.4	1460	0.15744672860357542
6	logits	0.4	1480	0.1575310842002276
6	logits	0.4	1500	0.15657415744382328
6	logits	0.4	1520	0.15600201762669105
6	logits	0.4	1540	0.1567337904056318
6	logits	0.4	1560	0.1565711139873912
6	logits	0.4	1580	0.15619458766876104
6	logits	0.4	1600	0.15599226266139113
6	logits	0.4	1620	0.1560789524959743
6	logits	0.4	1640	0.1561985161070623
6	logits	0.4	1660	0.15592146121039838
6	logits	0.4	1680	0.1551124902347769
6	logits	0.4	1700	0.15517484223486308
6	logits	0.4	1720	0.1556089592802817
6	logits	0.4	1740	0.15464129730366571
6	logits	0.4	1760	0.15402182460319658
6	logits	0.4	1780	0.15441770739871327
6	logits	0.4	1800	0.15467765293913202
6	logits	0.4	1820	0.155788699531056
6	logits	0.4	1840	0.15582260459270128
6	logits	0.4	1860	0.15632182622028895
6	logits	0.4	1880	0.15603188957161462
6	logits	0.4	1900	0.15586651789852057
6	logits	0.4	1920	0.15624372016276086
6	logits	0.4	1940	0.1567939618512688
6	logits	0.4	1960	0.15527129368310724
6	logits	0.4	1980	0.15589109866050874
6	logits	0.4	2000	0.1570340717163406
