tool	family	sim_ind	corrected_fd_corr	uncorrected_fd_corr
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	2	0.33835587775481174	0.3993076931032559
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	4	0.26269677730185853	0.3275980904256747
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	7	0.39972463135547465	0.4427830427051035
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	5	0.3301346237159356	0.40025112255963924
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	9	0.273401259674003	0.33046269087532093
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	10	0.31841846461467876	0.3693857126674162
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	1	0.17569267661031626	0.24506691743186024
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	6	0.4024144331268999	0.4520000242105056
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	3	0.32014773050165724	0.37773402909036424
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	8	0.287270665180621	0.3548898501124656
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	2	0.3826046465506008	0.45183375625876165
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	4	0.3182975386612325	0.3682848431526316
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	7	0.29691745314950485	0.3780283424134775
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	5	0.2284453635160643	0.30780234448026494
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	9	0.2400438288992711	0.2759320254763896
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	10	0.36678248910610495	0.4066238821187235
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	1	0.31988590736265365	0.3739365323267856
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	6	0.37400126456071775	0.4170702225555152
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	3	0.39560877558057933	0.47250483673060384
MSA-1b-logitsprop-static-100-init-seq-0	PF00271	8	0.4752301557277384	0.5330824951032656
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	2	0.48522949693693807	0.5451920197747568
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	4	0.599914956626699	0.6495680816981588
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	7	0.5275758165763458	0.5895314390777341
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	5	0.5548293446185926	0.6079100749379919
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	9	0.4979367618028651	0.5672576802256419
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	10	0.5057833710674446	0.5610075869911247
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	1	0.549292170716555	0.6042617601997442
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	6	0.558233481255425	0.5987948360339337
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	3	0.4920707781736679	0.5547693602973984
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	8	0.510219456679414	0.5559302751732996
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	2	0.5648388611425804	0.6466160270191551
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	4	0.5888107601266699	0.6504102195660186
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	7	0.61796457978415	0.6573810362095032
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	5	0.6029611885247685	0.6625515164721438
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	9	0.4732606218022882	0.5708836297359209
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	10	0.5948788217291694	0.6472283754545741
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	1	0.6196243031462575	0.6787427139457269
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	6	0.5860723276405585	0.6474480879096747
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	3	0.5676874291669126	0.629444601727229
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00271	8	0.5634475625024796	0.6305769093197816
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	5	0.23034774627070242	0.24055495324852638
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	4	0.1445687721610221	0.16348550354305313
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	9	0.19655761933171725	0.229044592714522
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	3	0.20182731943480625	0.21743199061162477
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	1	0.1375659625949978	0.14650562575027615
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	7	0.2014070096183154	0.21651621579525493
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	6	0.07931851223293115	0.09310155352737895
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	8	0.13328269967401096	0.14800596320012452
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	2	0.005138261992629433	0.03418982739608646
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	10	0.2334739583649253	0.24891973885786378
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	5	0.19622664695706526	0.20789336342192177
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	4	0.29440562754647015	0.29241467826751627
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	9	0.33841356217996765	0.34413303465169653
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	3	0.16372258335731293	0.17907413862192118
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	1	0.10190136033507687	0.11417199036367434
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	7	0.23896709681492925	0.2505386904061281
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	6	0.10479359346864754	0.09343694366014274
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	8	0.055206109694571584	0.07662428003414987
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	2	0.08799441365604341	0.10280646865405657
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	10	0.18947123274304395	0.19980963721007583
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	5	0.08110093059953385	0.09842028323666516
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	4	0.17757823472042106	0.18956409646878472
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	9	0.20320312739493893	0.2148737563644662
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	3	0.33707083031450297	0.3446123120739156
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	1	0.2880244339378528	0.294889468953871
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	7	0.13257573318232063	0.15066253116349904
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	6	-0.0037747722829889127	0.012667124886952154
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	8	0.2054365775241028	0.2223687827674255
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	2	0.06419015559918494	0.08723853529873718
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	10	0.03591351552474465	0.05489517353710649
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	5	0.19622664695706526	0.20789336342192177
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	4	0.29440562754647015	0.29241467826751627
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	9	0.33841356217996765	0.34413303465169653
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	3	0.16372258335731293	0.17907413862192118
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	1	0.10190136033507687	0.11417199036367434
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	7	0.23896709681492925	0.2505386904061281
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	6	0.10479359346864754	0.09343694366014274
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	8	0.055206109694571584	0.07662428003414987
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	2	0.08799441365604341	0.10280646865405657
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	10	0.18947123274304395	0.19980963721007583
