tool	family	mean_hd_corr_0	mean_hd_corr_10
ESM2-33T-650M-logitsprop	PF00004	0.7820001939476302	0.7473978608974179
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	0.7620452245302431	0.6158036801038409
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	0.7130129199285922	0.5598776590972713
Potts	PF00004	0.8073405842452555	0.739229832780719
ESM2-33T-650M-logitsprop	PF00005	0.2531810875318654	0.2405546713251261
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	0.1699535161566993	0.2018410745086328
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	0.1801872583689884	0.1813127281250065
Potts	PF00005	0.3670456135383091	0.3371151223436208
ESM2-33T-650M-logitsprop	PF00041	0.2538885437063474	0.3059999899329077
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00041	0.263769651223504	0.3328038340447729
MSA-1b-logitsprop-static-10-init-seq-0	PF00041	0.2656681254847916	0.3206549237425905
Potts	PF00041	0.3535087647462547	0.3648092085700186
ESM2-33T-650M-logitsprop	PF00072	0.3548069788362877	0.3239477862504702
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00072	0.3381906581629575	0.3428433689723013
MSA-1b-logitsprop-static-10-init-seq-0	PF00072	0.3803817284422006	0.3325944927927771
Potts	PF00072	0.4511131265857197	0.4797164667567769
ESM2-33T-650M-logitsprop	PF00076	0.3613013077940224	0.2949999422760667
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00076	0.3291348726331254	0.3403022256754268
MSA-1b-logitsprop-static-10-init-seq-0	PF00076	0.2363835289384432	0.3375681524089434
ESM2-33T-650M-logitsprop	PF00096	0.1927583167000653	0.1875334736121597
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00096	0.1761057453935282	0.1656642233438266
MSA-1b-logitsprop-static-10-init-seq-0	PF00096	0.1305931006657459	0.1375407092646835
Potts	PF00096	0.1814175855949721	0.2006889307549432
ESM2-33T-650M-logitsprop	PF00153	0.4522372779157025	0.4904636888616814
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00153	0.562131909950988	0.5581321599473054
MSA-1b-logitsprop-static-10-init-seq-0	PF00153	0.5302621963444077	0.5471383148358798
ESM2-33T-650M-logitsprop	PF00271	0.4031832907704942	0.4305078855597182
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	0.5982715455803065	0.6000844478052538
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	0.4191876098224411	0.3913938758400796
Potts	PF00271	0.5405568884836164	0.5698809789502679
ESM2-33T-650M-logitsprop	PF00397	0.1930309363216578	0.235693828323161
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00397	0.3231901381064411	0.3330931772270286
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	0.2013356780199141	0.1974325504885038
Potts	PF00397	0.2810448853575211	0.3284562514091966
ESM2-33T-650M-logitsprop	PF00512	0.5554886782086579	0.5449242295160982
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00512	0.4924770825902602	0.4729951128078357
MSA-1b-logitsprop-static-10-init-seq-0	PF00512	0.4181359937918955	0.3932913591310276
ESM2-33T-650M-logitsprop	PF00595	0.7118603238865127	0.7319026570665325
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	0.7386605328390747	0.7169950392938109
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	0.4854944482393319	0.6966319412491846
Potts	PF00595	0.6039843456968952	0.7121768523559228
ESM2-33T-650M-logitsprop	PF01535	0.2020485377068689	0.2552140384712144
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	0.1694033060840213	0.1706230007743296
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	0.118244453720536	0.1376984722775447
Potts	PF01535	0.2269931543674689	0.2426692294596445
ESM2-33T-650M-logitsprop	PF07679	0.2660604169573081	0.3605903750996211
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF07679	0.396265572327997	0.3458214792337124
MSA-1b-logitsprop-static-10-init-seq-0	PF07679	0.3755008620384803	0.3376776164718368
Potts	PF07679	0.4993989072755253	0.4899299667901542
ESM2-33T-650M-logitsprop	PF13354	0.8117987499019336	0.7770748837062372
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	0.8339952834573264	0.7984926833261338
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	0.8496616824190127	0.8442816631483747
