sim_ind	normalized_rf	kf_distance	MAE
1	0.6981132075471698	1.7608661176757279	1.133122050806732
2	0.660377358490566	1.5383961609338852	1.1372583533979812
3	0.7924528301886793	1.737045759843262	1.2132487301454549
4	0.8490566037735849	1.8649943763040793	1.3238719327946122
5	0.8490566037735849	1.784749781309124	1.2844582914922538
6	0.7547169811320755	1.7153784568495978	1.3594889776215495
7	0.7169811320754716	1.6910710967194653	1.2429062506868702
8	0.7924528301886793	1.7601502289674327	1.1895525766599335
9	0.8490566037735849	1.8378824351979481	1.2723057884269353
10	0.7735849056603774	1.8056621602464153	1.2925037862841755
