sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.36666666666666664	1.631964504435525	1.226756437629033	0.7
2	0.43333333333333335	1.6445870609595759	1.426407198594758	0.7
3	0.43333333333333335	1.6885644415967689	1.3976959479052413	0.7
4	0.3333333333333333	1.5414414880059788	1.3125593619254015	0.7
5	0.3	1.4536692544316268	1.1521593881673395	0.7
6	0.3333333333333333	1.651991295975352	1.3533818349536282	0.7
7	0.43333333333333335	1.6574319881588164	1.3591955318508055	0.7
8	0.3333333333333333	1.6829697098696421	1.3497608743124996	0.7
9	0.3	1.5538687672518425	1.390676709528227	0.7
10	0.36666666666666664	1.5512577907729863	1.3703296483004035	0.7
