tool	family	mean_hd_corr
ESM2-33T-650M-logitsprop	PF00004	0.7820001939476302
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	0.7620452245302431
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	0.7130129199285922
Potts	PF00004	0.8073405842452555
ESM2-33T-650M-logitsprop	PF00005	0.2531810875318654
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	0.1699535161566993
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	0.1801872583689884
Potts	PF00005	0.3670456135383091
ESM2-33T-650M-logitsprop	PF00041	0.2538885437063474
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00041	0.263769651223504
MSA-1b-logitsprop-static-10-init-seq-0	PF00041	0.2656681254847916
Potts	PF00041	0.3535087647462547
ESM2-33T-650M-logitsprop	PF00072	0.3548069788362877
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00072	0.3381906581629575
MSA-1b-logitsprop-static-10-init-seq-0	PF00072	0.3803817284422006
Potts	PF00072	0.4511131265857197
ESM2-33T-650M-logitsprop	PF00076	0.3613013077940224
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00076	0.3291348726331254
MSA-1b-logitsprop-static-10-init-seq-0	PF00076	0.2363835289384432
ESM2-33T-650M-logitsprop	PF00096	0.1927583167000653
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00096	0.1761057453935282
MSA-1b-logitsprop-static-10-init-seq-0	PF00096	0.1305931006657459
Potts	PF00096	0.1814175855949721
ESM2-33T-650M-logitsprop	PF00153	0.4522372779157025
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00153	0.562131909950988
MSA-1b-logitsprop-static-10-init-seq-0	PF00153	0.5302621963444077
ESM2-33T-650M-logitsprop	PF00271	0.4031832907704942
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	0.5982715455803065
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	0.4191876098224411
Potts	PF00271	0.5405568884836164
ESM2-33T-650M-logitsprop	PF00397	0.1930309363216578
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00397	0.3231901381064411
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	0.2013356780199141
Potts	PF00397	0.2810448853575211
ESM2-33T-650M-logitsprop	PF00512	0.5554886782086579
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00512	0.4924770825902602
MSA-1b-logitsprop-static-10-init-seq-0	PF00512	0.4181359937918955
ESM2-33T-650M-logitsprop	PF00595	0.7118603238865127
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	0.7386605328390747
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	0.4854944482393319
Potts	PF00595	0.6039843456968952
ESM2-33T-650M-logitsprop	PF01535	0.2020485377068689
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	0.1694033060840213
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	0.118244453720536
Potts	PF01535	0.2269931543674689
ESM2-33T-650M-logitsprop	PF02518	0.3756595051479316
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF02518	0.5336544055783021
MSA-1b-logitsprop-static-10-init-seq-0	PF02518	0.2548918796524794
ESM2-33T-650M-logitsprop	PF07679	0.2660604169573081
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF07679	0.396265572327997
MSA-1b-logitsprop-static-10-init-seq-0	PF07679	0.3755008620384803
Potts	PF07679	0.4993989072755253
ESM2-33T-650M-logitsprop	PF13354	0.8117987499019336
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	0.8339952834573264
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	0.8496616824190127
