tool	family	mean_hd_corr	sd_hd_corr
MSA-1b_logits_static_10_init-seq-0	PF00004	0.7130129199285928	0.02922459505691458
MSA-1b_logits_static_10_init-seq-0	PF00005	0.18018725836898772	0.06414830550128713
MSA-1b_logits_static_10_init-seq-0	PF00271	0.419187609822442	0.0385253122596808
MSA-1b_random_static_10_init-seq-0	PF00004	0.8543310663452675	0.014087943580135128
MSA-1b_random_static_10_init-seq-0	PF00005	0.3427405762462985	0.06588483819408393
MSA-1b_random_static_10_init-seq-0	PF00271	0.5866660374240633	0.034844941815062654
ESM2-33T-650M-logits	PF00004	0.7820001939476311	0.015692646807367462
ESM2-33T-650M-logits	PF00005	0.2531810875318648	0.08321983532082029
ESM2-33T-650M-logits	PF00271	0.40318329077049475	0.045757660301245215
ESM2-33T-650M-random	PF00004	0.8632496222817068	0.014584550356771942
ESM2-33T-650M-random	PF00005	0.41360349288525944	0.04902266077834695
ESM2-33T-650M-random	PF00271	0.5812403249289088	0.028114210933661298
ESMC-logits	PF00004	0.8176065081445347	0.02001021113984271
ESMC-logits	PF00005	0.2149504513635298	0.059688061927645336
ESMC-logits	PF00271	0.3521989536513027	0.05434277060001525
Potts	PF00004	0.8073405842452575	0.017876865015471904
Potts	PF00005	0.36704561353830806	0.05693302709915162
Potts	PF00271	0.5405568884836164	0.03947668514651469
