tool	family	mean_hd_corr	sd_hd_corr
MSA-1b_logits_static_10_init-seq-0	PF01356	0.6773894202833025	0.027995475902477883
MSA-1b_logits_static_10_init-seq-0	PF03440	0.37861281276049585	0.2140510857615552
MSA-1b_logits_static_10_init-seq-0	PF04008	0.5954491014675531	0.03453775990665558
MSA-1b_logits_static_10_init-seq-0	PF06351	0.6668931956977857	0.031419465980945444
MSA-1b_logits_static_10_init-seq-0	PF06355	0.8795681030638637	0.007490151716053798
MSA-1b_logits_static_10_init-seq-0	PF16747	0.8483874068842663	0.021906045916437664
MSA-1b_logits_static_10_init-seq-0	PF18648	0.8371304076000332	0.04070784948386746
MSA-1b_logits_static_10_init-seq-0	PF13354	0.8496616824190137	0.015183838416836046
ESM2-33T-650M-logits	PF01356	0.7544847447859067	0.022198855968074496
ESM2-33T-650M-logits	PF03440	0.8864734331511424	0.024931737189809296
ESM2-33T-650M-logits	PF04008	0.733184233984988	0.01509361896959169
ESM2-33T-650M-logits	PF06351	0.7154456921790401	0.017049833373005134
ESM2-33T-650M-logits	PF06355	0.8693313712868853	0.03330750836308454
ESM2-33T-650M-logits	PF16747	0.8928283755356157	0.012946114788727163
ESM2-33T-650M-logits	PF18648	0.9276430082879024	0.021119150365518497
ESM2-33T-650M-logits	PF13354	0.8117987499019368	0.013858084227598955
ESMC-logits	PF01356	0.6857832529300266	0.04972667003837059
ESMC-logits	PF03440	0.8848679436311176	0.022920304106904665
ESMC-logits	PF04008	0.6213329875723186	0.03939247542565289
ESMC-logits	PF06351	0.728912598158837	0.01651461446261968
ESMC-logits	PF06355	0.8695227372034878	0.0362575522971351
ESMC-logits	PF16747	0.8920847058852329	0.017387335070396925
ESMC-logits	PF18648	0.9295878332135794	0.031249411349322704
ESMC-logits	PF13354	0.8394063956421995	0.020655087747185028
Potts	PF01356	0.6528292006553702	0.05843251582441101
Potts	PF03440	0.800180253852991	0.04251462526572742
Potts	PF04008	0.6043189546112828	0.05263787958664777
Potts	PF06351	0.73943464559327	0.018596835324399284
Potts	PF06355	0.8767324656543851	0.009968797464517481
Potts	PF16747	0.8371701499856028	0.015794019129417677
Potts	PF18648	0.8662202779022458	0.04454818308731899
