tool	family	mean_hd_corr
MSA-1b-logitsprop-static-10-init-seq-0	PF01356	0.6773894202833028
MSA-1b-logitsprop-static-10-init-seq-0	PF03440	0.3786128127604959
MSA-1b-logitsprop-static-10-init-seq-0	PF04008	0.5954491014675526
MSA-1b-logitsprop-static-10-init-seq-0	PF06351	0.6668931956977857
MSA-1b-logitsprop-static-10-init-seq-0	PF06355	0.8795681030638661
MSA-1b-logitsprop-static-10-init-seq-0	PF16747	0.8483874068842667
MSA-1b-logitsprop-static-10-init-seq-0	PF18648	0.837130407600033
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01356	0.7939252448251451
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF03440	0.7040193295955472
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF04008	0.6515575015042123
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF06351	0.6902957366980711
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF06355	0.9043399787522584
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF16747	0.823921463009819
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF18648	0.837130407600033
ESM2-33T-650M-logitsprop	PF01356	0.7544847447859059
ESM2-33T-650M-logitsprop	PF03440	0.8864734331511425
ESM2-33T-650M-logitsprop	PF04008	0.733184233984988
ESM2-33T-650M-logitsprop	PF06351	0.7154456921790409
ESM2-33T-650M-logitsprop	PF06355	0.8693313712868868
ESM2-33T-650M-logitsprop	PF16747	0.8928283755356153
ESM2-33T-650M-logitsprop	PF18648	0.9276430082879026
Potts	PF01356	0.6528292006553693
Potts	PF03440	0.800180253852991
Potts	PF04008	0.6043189546112815
Potts	PF06351	0.7394346455932689
Potts	PF06355	0.8767324656543858
Potts	PF16747	0.8371701499856032
Potts	PF18648	0.8662202779022458
