tool	family	mean_hd_corr	sd_hd_corr	model
MSA-1b_logits_static_10_init-seq-0	PF00004	0.7130129199285928	0.02922459505691458	MSA
MSA-1b_logits_static_10_init-seq-0	PF00005	0.18018725836898772	0.06414830550128713	MSA
MSA-1b_logits_static_10_init-seq-0	PF00041	0.2656681254847924	0.044662313266229166	MSA
MSA-1b_logits_static_10_init-seq-0	PF00072	0.38038172844220075	0.053536863199483704	MSA
MSA-1b_logits_static_10_init-seq-0	PF00076	0.23638352893844505	0.03552921448842157	MSA
MSA-1b_logits_static_10_init-seq-0	PF00096	0.1305931006657464	0.023578839169013214	MSA
MSA-1b_logits_static_10_init-seq-0	PF00153	0.5302621963444076	0.009713966751712233	MSA
MSA-1b_logits_static_10_init-seq-0	PF00271	0.419187609822442	0.0385253122596808	MSA
MSA-1b_logits_static_10_init-seq-0	PF00397	0.2013356780199147	0.023382228040912962	MSA
MSA-1b_logits_static_10_init-seq-0	PF00512	0.41813599379189503	0.03080864246101929	MSA
MSA-1b_logits_static_10_init-seq-0	PF00595	0.4854944482393314	0.07494560192447206	MSA
MSA-1b_logits_static_10_init-seq-0	PF01535	0.11824445372053609	0.020497575443834175	MSA
MSA-1b_logits_static_10_init-seq-0	PF07679	0.37550086203847977	0.0691572080706544	MSA
MSA-1b_logits_static_10_init-seq-0	PF02518	0.25489187965247895	0.05598764357510869	MSA
ESM2-33T-650M-logits	PF00004	0.7820001939476311	0.015692646807367462	ESM2
ESM2-33T-650M-logits	PF00005	0.2531810875318648	0.08321983532082029	ESM2
ESM2-33T-650M-logits	PF00041	0.2538885437063497	0.03604031247365961	ESM2
ESM2-33T-650M-logits	PF00072	0.35480697883628803	0.039146848071399044	ESM2
ESM2-33T-650M-logits	PF00076	0.3613013077940238	0.054370817319362795	ESM2
ESM2-33T-650M-logits	PF00096	0.19275831670006743	0.03571061264700519	ESM2
ESM2-33T-650M-logits	PF00153	0.45223727791570223	0.03413995275935921	ESM2
ESM2-33T-650M-logits	PF00271	0.40318329077049475	0.045757660301245215	ESM2
ESM2-33T-650M-logits	PF00397	0.19303093632165785	0.01576137162014198	ESM2
ESM2-33T-650M-logits	PF00512	0.5554886782086579	0.07762491919009036	ESM2
ESM2-33T-650M-logits	PF00595	0.7118603238865121	0.026369782378472175	ESM2
ESM2-33T-650M-logits	PF01535	0.2020485377068694	0.04772963939770027	ESM2
ESM2-33T-650M-logits	PF07679	0.2660604169573083	0.09202582778095479	ESM2
ESM2-33T-650M-logits	PF02518	0.37565950514793134	0.037530804595484454	ESM2
ESMC-logits	PF00004	0.8176065081445347	0.02001021113984271	ESMC
ESMC-logits	PF00005	0.2149504513635298	0.059688061927645336	ESMC
ESMC-logits	PF00041	0.2502305234688385	0.03348731558506414	ESMC
ESMC-logits	PF00072	0.33062195186016596	0.06648372638508	ESMC
ESMC-logits	PF00076	0.39839848355377366	0.029244863586189072	ESMC
ESMC-logits	PF00096	0.17026826373151888	0.0500302264606816	ESMC
ESMC-logits	PF00153	0.45679964955681307	0.03096569279215143	ESMC
ESMC-logits	PF00271	0.3521989536513027	0.05434277060001525	ESMC
ESMC-logits	PF00397	0.20584084699481037	0.025386747239993273	ESMC
ESMC-logits	PF00512	0.5297485164349232	0.043716599117389586	ESMC
ESMC-logits	PF00595	0.733498650710891	0.03271463311124412	ESMC
ESMC-logits	PF01535	0.21912490222322342	0.04181733104058387	ESMC
ESMC-logits	PF07679	0.3649152587914546	0.05067164061960033	ESMC
ESMC-logits	PF02518	0.39438118129687627	0.038697856347582174	ESMC
Potts	PF00004	0.8073405842452575	0.017876865015471904	Potts
Potts	PF00005	0.36704561353830806	0.05693302709915162	Potts
Potts	PF00041	0.3535087647462544	0.03807489548564947	Potts
Potts	PF00072	0.4511131265857201	0.04861862211589517	Potts
Potts	PF00096	0.18141758559497073	0.027761544697266403	Potts
Potts	PF00271	0.5405568884836164	0.03947668514651469	Potts
Potts	PF00397	0.28104488535752215	0.03639563784681316	Potts
Potts	PF00595	0.6039843456968945	0.04267476859719142	Potts
Potts	PF01535	0.22699315436746872	0.015346437886394533	Potts
Potts	PF07679	0.4993989072755255	0.04384025297496536	Potts
